repseq	OTUS	domain	phylum	class	order	family	genus	species
3888	Y_OTU_132	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidiella	Leucosporidiella fragaria
393	Y_OTU_146	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Amphinema	Amphinema sp 2 UK_2011
528	Y_OTU_169	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus terricola
8159	Y_OTU_82	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_Incertae sedis	Candida	unclassified_Candida
3259	Y_OTU_161	Fungi	Basidiomycota	Agaricomycetes	Agaricales	unclassified_Agaricales	unclassified_Agaricales	unclassified_Agaricales
477	Y_OTU_174	Fungi	Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota	unclassified_Ascomycota
4992	Y_OTU_213	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Hortaea	Hortaea werneckii
1428	Y_OTU_83	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala equina
2478	Y_OTU_273	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unclassified_Pleosporales	unclassified_Pleosporales	unclassified_Pleosporales
2923	Y_OTU_162	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Embellisia	Ulocladium chartarum
4239	Y_OTU_80	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Lewia	unclassified_Lewia
516	Y_OTU_150	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_Incertae sedis	Filobasidiella	Cryptococcus neoformans
6220	Y_OTU_1	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Graphiopsis	Graphiopsis chlorocephala
393	Y_OTU_275	Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi	unclassified_Fungi
398	Y_OTU_149	Fungi	Ascomycota	Leotiomycetes	Helotiales	unclassified_Helotiales	unclassified_Helotiales	unclassified_Helotiales
