repseq	OTUS	domain	phylum	class	order	family	genus
697|59	OTU_2778	acteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	unclassified_Planctomycetaceae
697|70	OTU_2781	acteria	acteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
697|82	OTU_2782	acteria	Proteobacteria	Deltaproteobacteria	unclassified_Deltaproteobacteria	unclassified_Deltaproteobacteria	unclassified_Deltaproteobacteria
698|144	OTU_2788	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
699|10	OTU_2794	acteria	Actinobacteria	Thermoleophilia	Thermoleophilales	Thermoleophilaceae	Thermoleophilum
699|135	OTU_3703	acteria	Cyanobacteria/Chloroplast	unclassified_Cyanobacteria/Chloroplast	unclassified_Cyanobacteria/Chloroplast	unclassified_Cyanobacteria/Chloroplast	unclassified_Cyanobacteria/Chloroplast
699|222	OTU_439	acteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Acidimicrobiaceae	Ilumatobacter
699|409	OTU_2790	acteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
699|50	OTU_2793	acteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Conexibacteraceae	Conexibacter
699|550	OTU_2796	acteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	unclassified_Micromonosporaceae
699|572	OTU_437	acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria	unclassified_acteria
699|777	OTU_438	acteria	Candidatus Saccharibacteria	unclassified_Candidatus Saccharibacteria	unclassified_Candidatus Saccharibacteria	unclassified_Candidatus Saccharibacteria	Saccharibacteria_genera_incertae_sedis
699|8	OTU_2795	acteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	Streptosporangium
699|840	OTU_2792	acteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Minicystis
699|871	OTU_2791	acteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified_Myxococcales	unclassified_Myxococcales
699|98	OTU_2789	acteria	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella
