	domain	phylum	class	order	family	genus
OTU_183	Bacteria	"Proteobacteria"	Betaproteobacteria	unclassified_Betaproteobacteria	unclassified_Betaproteobacteria	unclassified_Betaproteobacteria
OTU_184	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_185	Bacteria	"Bacteroidetes"	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter
OTU_186	Bacteria	"Proteobacteria"	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	unclassified_Pseudomonadaceae
OTU_187	Bacteria	"Proteobacteria"	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
OTU_188	Bacteria	"Proteobacteria"	Gammaproteobacteria	"Enterobacteriales"	Enterobacteriaceae	unclassified_Enterobacteriaceae
OTU_189	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_190	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_191	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
OTU_192	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_193	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_194	Bacteria	"Proteobacteria"	Gammaproteobacteria	"Enterobacteriales"	Enterobacteriaceae	Cronobacter
OTU_195	Bacteria	"Proteobacteria"	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
OTU_196	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_197	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_198	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_199	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_200	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae 1	unclassified_Paenibacillaceae 1
OTU_201	Bacteria	"Proteobacteria"	Gammaproteobacteria	"Enterobacteriales"	Enterobacteriaceae	unclassified_Enterobacteriaceae
OTU_202	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_203	Bacteria	"Proteobacteria"	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Serpens
OTU_204	Bacteria	"Actinobacteria"	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium
OTU_205	Bacteria	"Proteobacteria"	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
OTU_206	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_207	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_208	Bacteria	"Proteobacteria"	Betaproteobacteria	Burkholderiales	unclassified_Burkholderiales	unclassified_Burkholderiales
OTU_209	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_210	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
OTU_211	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria
OTU_212	Bacteria	"Proteobacteria"	Betaproteobacteria	unclassified_Betaproteobacteria	unclassified_Betaproteobacteria	unclassified_Betaproteobacteria
OTU_213	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_214	Bacteria	Cyanobacteria/Chloroplast	Chloroplast	unclassified_Chloroplast	Chloroplast	Streptophyta
OTU_215	Bacteria	"Proteobacteria"	Gammaproteobacteria	"Enterobacteriales"	Enterobacteriaceae	Pantoea
OTU_216	Bacteria	"Bacteroidetes"	Cytophagia	Cytophagales	Cytophagaceae	Pseudarcicella
OTU_217	Bacteria	"Proteobacteria"	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	unclassified_Moraxellaceae
OTU_218	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
